sim_index,mut_rate,sel_coeff,sampling_start,num_samples,num_muts,total_branch_length,sackin_index,norm_sackin,pi,seg_sites,tajimas_d,num_singletons,external_clock_rate,internal_clock_rate,external_muts,internal_muts,external_length,internal_length,exp_fit_var,obsv_fit_var
0,0.0001,0.0,0,200,3799,4426.0,1595,-0.2474025763017026,0.002403661566258248,0.1269729802033173,-2.8726126917552333,3010.0,1.0339189560275452,1.6196343550125454,3010,789,3459.900000000001,966.0999999999996,0,0.0
1,0.0001,0.0,0,200,3921,4527.4,1443,-0.3191234593124494,0.002356930788237587,0.13095238095238096,-2.8904119787349334,3094.0,1.1148656408061697,1.4146253442080605,3094,827,3614.600000000001,912.8000000000001,0,0.0
2,0.0001,0.0,0,200,5122,5910.1,1265,-0.4031123881013503,0.0028098222519769593,0.17118111289459603,-2.9212880870629876,4307.0,0.9903555535845329,2.3136412496539904,4310,812,5019.299999999998,890.7999999999998,0,0.0
3,0.0001,0.0,0,200,4114,4525.0,1403,-0.3379973758942249,0.0025527567613347927,0.13750668806848582,-2.8798254636053167,3271.0,0.9546556014912454,2.40327577660305,3269,845,3607.200000000001,917.8,0,0.0
4,0.0001,0.0,0,200,3636,4529.8,1436,-0.32242639471426016,0.0024759397576432237,0.12152220438737292,-2.845051136932109,2902.0,0.9421380890202815,1.7503122730317087,2904,732,3540.299999999997,989.5000000000002,0,0.0
5,0.0001,0.0,0,200,4963,5380.6,1271,-0.400281300614084,0.002709986865843482,0.16593097913322633,-2.922767694509497,4086.0,1.0327822083367737,1.9116939192484916,4087,876,4369.6,1010.9999999999997,0,0.0
6,0.0001,0.0,0,200,4150,4709.0,1188,-0.43944467752126815,0.002615342294672968,0.13874398073836275,-2.874433938128597,3385.0,1.0558605128321679,2.127940718186421,3385,765,3809.499999999998,899.5000000000003,0,0.0
7,0.0001,0.0,0,200,5081,5582.3,1226,-0.4215144567685814,0.002750185854365549,0.16984349919743177,-2.9254797254467615,4352.0,0.9412323214018887,1.512629714603162,4352,729,4796.2000000000035,786.1000000000005,0,0.0
8,0.0001,0.0,0,200,5348,6223.6,1324,-0.3752733611432315,0.0028669649074695054,0.1788055109684323,-2.928622091675181,4564.0,0.8992003904733742,2.287423452964139,4563,785,5352.100000000003,871.4999999999995,0,0.0
9,0.0001,0.0,0,200,4622,5201.3,1055,-0.5022004501556716,0.002539553707542547,0.154527822364901,-2.920625801633187,3832.0,0.9908707333842508,1.3482913331929947,3833,789,4159.500000000001,1041.8000000000002,0,0.0
10,0.0001,0.0,0,200,4238,4912.7,1272,-0.3998094526995396,0.002446085429824344,0.14172017121455324,-2.9046881216612794,3460.0,1.0492051272508838,1.637499857639777,3459,779,3918.9,993.8000000000001,0,0.0
11,0.0001,0.0,0,200,3738,4288.0,1269,-0.4012249964431728,0.002291449892587569,0.12493311931514178,-2.883737141085602,2972.0,1.1616106589717048,2.033051674868875,2973,765,3323.9,964.1000000000001,0,0.0
12,0.0001,0.0,0,200,5431,6116.1,1213,-0.42764847965765845,0.002749906904775445,0.18151417870518993,-2.945448483156862,4717.0,0.9056229218031792,2.2428942732101143,4720,711,5308.300000000004,807.8000000000003,0,0.0
13,0.0001,0.0,0,200,4322,4929.8,1253,-0.40877456307588295,0.0025057033428243667,0.14446227929373998,-2.903133107673349,3435.0,1.068234755309147,1.4367134510883939,3437,885,3858.699999999999,1071.1000000000004,0,0.0
14,0.0001,0.0,0,200,3855,4544.7,1105,-0.4786080544284523,0.002447888519644781,0.12891252006420545,-2.8715592398182324,3019.0,1.0677617634767682,1.6287761692864833,3018,837,3461.899999999999,1082.7999999999997,0,0.0
15,0.0001,0.0,0,200,5066,5788.5,1194,-0.4366135900340018,0.002663103169673993,0.16934189406099517,-2.934325104787429,4202.0,0.9013592796133253,2.0188326439488113,4203,863,4904.299999999999,884.1999999999998,0,0.0
16,0.0001,0.0,0,200,3971,4525.4,1314,-0.37999184028867533,0.0025380110827008602,0.13279159978598182,-2.8693060202771137,3221.0,1.0429546569763517,1.9410090707950356,3221,750,3583.0,942.4000000000001,0,0.0
17,0.0001,0.0,0,200,4572,5346.5,1062,-0.4988975147538609,0.0024325546942846987,0.15278892455858747,-2.930337110592644,3775.0,0.973034793964206,1.5184875840176166,3778,794,4338.599999999997,1007.8999999999999,0,0.0
18,0.0001,0.0,0,200,4658,5325.3,1387,-0.3455469425269351,0.002685385528498616,0.15563135366506153,-2.905068772704479,3861.0,0.9112849495987081,1.6671507029794943,3862,796,4442.900000000001,882.4000000000003,0,0.0
19,0.0001,0.0,0,200,3765,4187.3,1508,-0.28845334486706425,0.002286243953851628,0.12586944890315677,-2.8871384130741955,3004.0,1.0200918264525747,1.8778833302534608,3005,760,3287.8999999999996,899.4,0,0.0
20,0.0001,0.0,0,200,3952,4543.4,1206,-0.43095141505946916,0.0025785259900358063,0.13212279293739967,-2.861631867017889,3165.0,1.0753094803059335,1.7646454944418108,3166,786,3591.4,952.0,0,0.0
21,0.0001,0.0,0,200,4337,4973.2,1372,-0.3526246612451009,0.002369849851182064,0.14493044408774747,-2.922001925984026,3637.0,0.9512410072389754,1.6899480695726385,3639,698,4161.2999999999965,811.9,0,0.0
22,0.0001,0.0,0,200,4491,5028.4,1217,-0.4257610879994809,0.0025113865206180847,0.15011369716425896,-2.9149279839283513,3690.0,0.9663570570098644,1.7650468066390128,3692,799,4097.100000000001,931.3000000000001,0,0.0
23,0.0001,0.0,0,200,4602,5113.5,1359,-0.35875868413417794,0.002541914696543214,0.1538590155163189,-2.9189655418352682,3792.0,1.000927240866605,2.2289267401797637,3793,809,4230.800000000001,882.7000000000002,0,0.0
24,0.0001,0.0,0,200,3862,4325.7,1319,-0.37763260071595345,0.0024289989272203725,0.129079721776351,-2.8748083559351696,2967.0,1.18760840038784,2.1860444061013835,2967,895,3387.8000000000015,937.8999999999997,0,0.0
25,0.0001,0.0,0,200,3831,4291.8,1595,-0.2474025763017026,0.0023093194705469267,0.1281099518459069,-2.8898108894108696,3070.0,1.076790249877877,2.3179890054975787,3070,761,3433.5000000000005,858.3000000000001,0,0.0
26,0.0001,0.0,0,200,4060,4660.7,1321,-0.37668890488686463,0.002273961769790589,0.13556714820759763,-2.9137756184141126,3314.0,1.0156761472738698,1.703539662781343,3315,745,3729.1000000000004,931.5999999999998,0,0.0
27,0.0001,0.0,0,200,3599,4103.9,1236,-0.4167959776231375,0.002290769322804488,0.1203517924023542,-2.870457576642913,2858.0,0.9848147118718135,1.787284997741602,2857,742,3269.6000000000026,834.3000000000003,0,0.0
28,0.0001,0.0,0,200,4136,4800.7,1503,-0.2908125844397862,0.0025303483710688505,0.13804173354735153,-2.8842854532727897,3236.0,1.2628102101927556,1.8445467800865405,3240,896,3898.4999999999995,902.1999999999997,0,0.0
29,0.0001,0.0,0,200,4628,5203.3,1322,-0.3762170569723203,0.0025603942666785227,0.15456126270733012,-2.918134007833947,3833.0,0.9521451581081511,1.4547904911933194,3837,791,4320.499999999997,882.8,0,0.0
30,0.0001,0.0,0,200,4300,4768.8,1362,-0.35734314039054477,0.0029189940472830805,0.14376003210272872,-2.8469331912854785,3400.0,0.9716205804602913,1.8833375841536084,3401,899,3839.8000000000006,929.0,0,0.0
31,0.0001,0.0,0,200,4710,5466.8,1504,-0.2903407365252418,0.0027199299063536764,0.15743713215623328,-2.9046934294289652,3905.0,0.9046920392952744,2.00045608323762,3907,803,4607.000000000002,859.7999999999996,0,0.0
32,0.0001,0.0,0,200,4264,4982.6,1495,-0.2945873677561413,0.0023724881093535946,0.14245585874799357,-2.9162041978474553,3500.0,0.9770270084915214,1.511183751964062,3501,763,4079.500000000002,903.1000000000003,0,0.0
33,0.0001,0.0,0,200,5634,6242.2,1302,-0.385654015263208,0.002829357125380892,0.18826912787586944,-2.947846500967827,4742.0,0.9383030789672733,1.9687786526602096,4745,889,5274.700000000003,967.4999999999998,0,0.0
34,0.0001,0.0,0,200,4379,5410.1,1216,-0.4262329359140253,0.002403848092791396,0.14640181915462813,-2.9207443451020545,3578.0,0.9117815947594154,2.2057602826151204,3577,802,4357.099999999998,1053.0000000000002,0,0.0
35,0.0001,0.0,0,200,4083,4931.1,1366,-0.35545574873236724,0.0025715455286061586,0.1364700374531835,-2.8745104906767946,3386.0,0.9287445914483354,1.9399431971125414,3387,696,4013.599999999999,917.4999999999999,0,0.0
36,0.0001,0.0,0,200,4588,5334.0,1176,-0.4451068524958008,0.002461446141891927,0.1534242910647405,-2.9280259712609666,3843.0,0.8935573818844763,1.8611471441741698,3843,745,4515.4000000000015,818.5999999999999,0,0.0
37,0.0001,0.0,0,200,4023,4592.7,1171,-0.4474660920685227,0.002689877289067113,0.13449705724986624,-2.8525147385823892,3148.0,1.0058106167580951,1.8299083422437925,3149,874,3546.1,1046.5999999999997,0,0.0
38,0.0001,0.0,0,200,4478,5105.8,1528,-0.2790163865761765,0.0025523551411418027,0.14954521134296414,-2.9085082665856947,3638.0,1.1852074382254019,2.216747053870463,3641,837,4116.700000000001,989.0999999999998,0,0.0
39,0.0001,0.0,0,200,4885,5358.1,1218,-0.4252892400849365,0.0026307567801555154,0.16335607276618513,-2.9270458466754543,4055.0,0.9960302131680141,1.8530195648982273,4054,831,4464.700000000003,893.4000000000002,0,0.0
40,0.0001,0.0,0,200,4811,5607.6,1669,-0.21248583062541793,0.0025777529971957656,0.1605805243445693,-2.927980074826498,4053.0,1.019135304918701,2.3180458506034376,4057,754,4694.9000000000015,912.7000000000005,0,0.0
